"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Transportation fatalities (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47298","44391","41947","42736","43514","44507","44734","44412","43863","43975","44264","44874","45279","45106","45014","45633","45055","43332","39562","35978","35040","34568","35693","34691","34638","37368","39748","39364","38755","38425","40851"
"    By mode of transportation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Highway (People)","36399",,,,,"47089",,,,,"52627",,,,,"44525",,,,,"51091",,,,,"43825",,,,,"44599","41508","39250","40150","40716","41817","42065","42013","41501","41717","41945","42196","43005","42884","42836","43510","42708","41259","37423","33883","32999","32479","33782","32893","32744","35484","37806","37473","36835","36355","38824"
"            By % alcohol involved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                % Alcohol Involved (People)",,,,,,,,,,,,,,,,,,,,,,,,,,"0.481414717626925",,,,,"0.462050718625978","0.441047508913944","0.417859872611465","0.39947696139477","0.383780332056194","0.380060740847024","0.377178176631404","0.356389688905815","0.359003397508494","0.354531725675384","0.375396352366194","0.372807849085221","0.367236367864202","0.359644622703106","0.357433000280138","0.36738680763043","0.373934625831226","0.376499672798662","0.369451941319509","0.375734143966001","0.360798812085215","0.354906247113519","0.358711739979871","0.362326330830268","0.358630588810164","0.344098748731823","0.342564672274242","0.340912123395511","0.340980046151758","0.330876083069729","0.352745724294251"
"            By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Passenger car occupants (People)",,,,,,,,,,,,,,,,"25929",,,,,"27449",,,,,"23212",,,,,"24092","22385","21387","21566","21997","22423","22505","22199","21194","20862","20699","20320","20569","19725","19192","18512","17925","16614","14646","13135","12491","12014","12361","12037","11947","12763","13508","13477","12888","12355","13472"
"                Motorcyclists (People)","790",,,,,"1650",,,,,"2280",,,,,"3189",,,,,"5144",,,,,"4564",,,,,"3244","2806","2395","2449","2320","2227","2161","2116","2294","2483","2897","3197","3270","3714","4028","4576","4837","5174","5312","4469","4518","4630","4986","4692","4594","5029","5337","5226","5038","5044","5579"
"                Truck occupants, light (People)",,,,,,,,,,,,,,,,"4856",,,,,"7486",,,,,"6689",,,,,"8601","8391","8098","8511","8904","9568","9932","10249","10705","11265","11526","11723","12274","12546","12674","13037","12761","12458","10816","10312","9782","9302","9418","9186","9103","9878","10279","10186","9957","10017","10352"
"                Truck occupants, large (People)",,,,,,,,,,,,,,,,"961",,,,,"1262",,,,,"977",,,,,"705","661","585","605","670","648","621","723","742","759","754","708","689","726","766","804","805","805","682","499","530","640","697","695","656","665","815","878","890","893","831"
"                Bus occupants (People)",,,,,,,,,,,,,,,,"53",,,,,"46",,,,,"57",,,,,"32","31","28","18","18","33","21","18","38","59","22","34","45","41","42","58","27","36","67","26","44","55","39","54","44","49","64","43","44","35","16"
"                Pedestrians (People)","7210",,,,,"7990",,,,,"8950",,,,,"7516",,,,,"8070",,,,,"6808",,,,,"6482","5801","5549","5649","5489","5584","5449","5321","5228","4939","4763","4901","4851","4774","4675","4892","4795","4699","4414","4109","4302","4457","4818","4779","4910","5494","6080","6075","6374","6272","6516"
"                Pedalcyclists (People)","490",,,,,"690",,,,,"760",,,,,"1003",,,,,"965",,,,,"890",,,,,"859","843","723","816","802","833","765","814","760","754","693","732","665","629","727","786","772","701","718","628","623","682","734","749","729","829","853","806","871","859","938"
"                Other incident (People)","27909",,,,,"36759",,,,,"40637",,,,,"1018",,,,,"669",,,,,"628",,,,,"584","590","485","536","516","501","609","573","540","596","591","581","642","729","732","845","786","772","768","705","709","699","729","701","761","777","870","782","773","880","1120"
"            Number with alcohol involved (People)",,,,,,,,,,,,,,,,,,,,,,,,,,"21098",,,,,"20607","18307","16401","16039","15626","15893","15866","14973","14899","14790","15746","15731","15793","15423","15311","15985","15970","15534","13826","12731","11906","11527","12118","11918","11743","12210","12951","12775","12560","12029","13695"
"                By person killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Motorist (People)",,,,,,,,,,,,,,,,,,,,,,,,,,"19271",,,,,"18953","16918","15301","14857","14437","14796","14830","14051","13896","13958","14834","14708","14954","14544","14376","14861","14959","14487","12962","11884","11033","10715","11191","10915","10713","11102","11549","11488","11051","10756",
"                    Non-motorist (People)",,,,,,,,,,,,,,,,,,,,,,,,,,"3896",,,,,"3634","3241","2989","3051","2870","2936","2919","2660","2777","2614","2547","2693","2571","2561","2543","2729","2779","2670","2487","2295","2290","2469","2688","2654","2675","3022","3437","3221","3533","3279",
"            Percent with alcohol involved (People)",,,,,,,,,,,,,,,,,,,,,,,,,,"0.528625213918996",,,,,"0.506446332877419","0.485665413896116","0.465987261146497","0.446027397260274","0.425090873366735","0.424038070641127","0.421942232259598","0.39775783686002","0.401749355437218","0.397248124265887","0.414352127786387","0.412361361266471","0.407487501453319","0.398866710194945","0.394971519282846","0.404274879338083","0.415332022103587","0.415860781890012","0.412820992437806","0.418469438951687","0.403739507257796","0.405923827704055","0.410840092356876","0.412519381023318","0.408868800390911","0.398066734302784","0.396392107072951","0.392522616283724","0.395927786073028","0.388824246453901",
"        Air (People)","1286",,,,,"1290",,,,,"1456",,,,,"1473",,,,,"1382",,,,,"1595",,,,,"866","1039","988","811","1057","963","1093","724","670","683","752","1167","616","699","637","601","774","540","568","541","477","499","450","429","442","406","408","347","395","452","349"
"        Railroad (People)",,,,,,,,,,,,,,,,"1560",,,,,"1417",,,,,"1036",,,,,"1297","1194","1170","1279","1226","1146","1039","1063","1008","932","937","971","951","865","891","884","903","851","804","695","735","681","669","702","767","749","761","817","794","856","743"
"        Transit (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"339","300","273","281","320","274","264","275","286","299","295","267","166","187","161","142","150","165","195","238","224","227","265","273","240","251","259","249","260","268","289"
"        Waterborne and Pipeline (People)",,,,,,,,,,,"1448",,,,,"1481",,,,,"1379",,,,,"1149",,,,,"874","938","831","817","806","850","762","831","836","756","739","688","902","856","838","846","904","857","862","878","843","917","777","659","693","711","753","716","689","718","853"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Bureau of Transportation Statistics","National Transportation Statistics",,"https://www.bts.gov/topics/national-transportation-statistics",,"2020","Annual"
,"Bureau of Transportation Statistics","National Transportation Statistics",,"https://www.bts.gov/topics/national-transportation-statistics","https://www.bts.gov/sites/bts.dot.gov/files/docs/browse-statistical-products-and-data/national-transportation-statistics/223001/ntsentire2018q4.pdf","2018","Quarterly"
"Exported on: 11/08/2022"
